,location,bath,balcony,price,bhk,total_area_in_sqrt
0,1st Block Jayanagar,4.0,1.0,428.0,4,2850.0
1,1st Block Jayanagar,3.0,2.0,194.0,3,1630.0
2,1st Block Jayanagar,2.0,3.0,235.0,3,1875.0
3,1st Block Jayanagar,2.0,0.0,130.0,3,1200.0
4,1st Block Jayanagar,2.0,2.0,148.0,2,1235.0
5,1st Block Jayanagar,4.0,0.0,413.0,4,2750.0
6,1st Block Jayanagar,4.0,2.0,368.0,4,2450.0
8,1st Phase JP Nagar,3.0,1.0,167.0,3,1875.0
9,1st Phase JP Nagar,4.0,1.0,210.0,3,2065.0
11,1st Phase JP Nagar,3.0,2.0,225.0,3,2059.0
12,1st Phase JP Nagar,2.0,1.0,100.0,2,1394.0
13,1st Phase JP Nagar,2.0,2.0,93.0,2,1077.0
14,1st Phase JP Nagar,2.0,0.0,180.0,2,1566.0
15,1st Phase JP Nagar,2.0,2.0,50.0,1,840.0
16,1st Phase JP Nagar,3.0,3.0,131.0,3,1590.0
17,1st Phase JP Nagar,3.0,2.0,210.0,3,2180.0
18,1st Phase JP Nagar,2.0,2.0,88.5,2,1180.0
19,1st Phase JP Nagar,2.0,2.0,86.0,2,1200.0
20,1st Phase JP Nagar,2.0,2.0,85.0,2,1394.0
21,1st Phase JP Nagar,3.0,3.0,175.0,3,2077.0
22,1st Phase JP Nagar,2.0,1.0,85.0,2,1205.0
24,1st Phase JP Nagar,2.0,1.0,75.0,2,900.0
25,2nd Phase Judicial Layout,2.0,1.0,50.75,3,1450.0
26,2nd Phase Judicial Layout,2.0,1.0,40.25,2,1150.0
27,2nd Phase Judicial Layout,2.0,2.0,47.25,3,1350.0
28,2nd Phase Judicial Layout,2.0,2.0,47.25,3,1350.0
29,2nd Phase Judicial Layout,3.0,3.0,69.0,3,1681.0
30,2nd Phase Judicial Layout,2.0,2.0,47.25,3,1350.0
31,2nd Phase Judicial Layout,2.0,1.0,40.25,2,1150.0
32,2nd Stage Nagarbhavi,8.0,3.0,451.0,6,3000.0
33,2nd Stage Nagarbhavi,4.0,3.0,240.0,5,4000.0
34,5th Block Hbr Layout,2.0,2.0,56.0,2,1206.0
35,5th Block Hbr Layout,2.0,2.0,70.0,3,1270.0
36,5th Block Hbr Layout,2.0,3.0,69.0,2,1312.0
37,5th Block Hbr Layout,2.0,2.0,48.0,2,1100.0
38,5th Phase JP Nagar,2.0,2.0,60.0,2,1075.0
39,5th Phase JP Nagar,3.0,3.0,52.5,2,1150.0
40,5th Phase JP Nagar,2.0,1.0,62.8,2,1256.0
41,5th Phase JP Nagar,2.0,2.0,63.0,2,1207.0
42,5th Phase JP Nagar,2.0,2.0,100.0,3,1725.0
43,5th Phase JP Nagar,2.0,2.0,60.0,2,1440.0
44,5th Phase JP Nagar,2.0,3.0,100.0,3,1700.0
46,5th Phase JP Nagar,5.0,2.0,110.0,5,2500.0
47,5th Phase JP Nagar,1.0,1.0,30.0,1,600.0
48,5th Phase JP Nagar,2.0,2.0,65.0,2,1390.0
49,5th Phase JP Nagar,2.0,1.0,62.8,2,1256.0
